City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Rikitea,PF,73.36,Rain,-23.1203,-134.9692,People ThankYou
5,Mahebourg,MU,71.26,Clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
7,Maceio,BR,72.84,Clear,-9.6658,-35.7353,Hotel Ponta Verde Maceió
9,Sao Gabriel Da Cachoeira,BR,75.74,Clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
11,Port Moresby,PG,83.62,Haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
13,Quatre Cocos,MU,71.1,Rain,-20.2078,57.7625,Sunrise Attitude Hotel
16,Padang,ID,75.25,Clouds,-0.9492,100.3543,Mercure Padang
18,Kavaratti,IN,80.67,Clouds,10.5669,72.642,Green leaf
19,Sao Joao Da Barra,BR,73.49,Clouds,-21.6403,-41.0511,Pousada Porto De Canoas
21,Kununurra,AU,82.38,Clear,-15.7667,128.7333,Hotel Kununurra
25,Lorengau,PG,83.77,Clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
26,Faanui,PF,78.03,Rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
31,Soyo,AO,73.47,Clouds,-6.1349,12.3689,Hospedaria ndozi'ame
33,Harper,LR,76.3,Rain,4.375,-7.7169,Screensaver
34,Yanam,IN,75.67,Clouds,16.7333,82.2167,The Regency Hotel
36,Nhulunbuy,AU,84.81,Clouds,-12.2333,136.7667,East Arnhem Real Estate
37,Georgetown,MY,78.73,Clouds,5.4112,100.3354,Cititel Penang
43,Hithadhoo,MV,81.28,Clear,-0.6,73.0833,Scoop Guest House
45,Vila Velha,BR,75.15,Clear,-20.3297,-40.2925,Hotel Vitória Palace
53,Beckley,US,73.81,Clear,37.7782,-81.1882,"Country Inn & Suites by Radisson, Beckley, WV"
55,Savannah Bight,HN,83.1,Clouds,16.45,-85.85,Villa on Dunbar Rock
56,Tucuma,BR,79.72,Rain,-0.1833,-50.05,
58,Majene,ID,76.6,Clouds,-3.5403,118.9707,Kost Putri RABBANI
59,Nicoya,CR,78.58,Clouds,10.1483,-85.452,Las Cabinas Del Sueño
67,Cabo San Lucas,MX,83.61,Clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
68,Acapulco,MX,80.42,Clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
73,San Quintin,MX,74.17,Clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
74,Kasongo-Lunda,CD,72.43,Clouds,-6.4667,16.8167,
77,Benjamin Constant,BR,80.73,Clouds,-4.3831,-70.0311,CASA AVALIADA
78,Souillac,MU,70.18,Rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
79,Cayenne,GF,77.04,Clear,4.9333,-52.3333,Hôtel Le Dronmi
80,Coahuayana,MX,76.69,Clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
81,Axim,GH,75.16,Rain,4.8699,-2.2405,Axim Beach Resort And Spa
94,Kavieng,PG,83.37,Clouds,-2.5744,150.7967,Nusa Island Retreat
99,Kieta,PG,82.71,Rain,-6.2167,155.6333,Uruna Bay Retreat
101,Sao Filipe,CV,78.96,Clouds,14.8961,-24.4956,Hotel Xaguate
104,Atuona,PF,76.8,Rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
105,Butaritari,KI,81.23,Clouds,3.0707,172.7902,Isles Sunset Lodge
111,Damaturu,NG,77.23,Rain,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
112,Vaini,TO,77.16,Clouds,-21.2,-175.2,Keleti Beach Resort
125,Najran,SA,79.45,Clouds,17.4924,44.1277,محمد هادي ال فطيح
127,Tecoanapa,MX,79.54,Clouds,16.5167,-98.75,Hotel Manglares
132,Ribeira Grande,PT,74.28,Clouds,38.5167,-28.7,Quinta da Meia Eira
133,Ponta Do Sol,PT,74.03,Clouds,32.6667,-17.1,Hotel do Campo
134,North Bend,US,71.24,Clear,43.4065,-124.2243,Red Lion Hotel Coos Bay
136,Bambous Virieux,MU,71.22,Rain,-20.3428,57.7575,Casa Tia Villa
138,Luganville,VU,82.8,Clouds,-15.5333,167.1667,The Espiritu Hotel
139,San Francisco,US,77.11,Clouds,37.7749,-122.4194,Edwardian Hotel
155,Nabire,ID,77.14,Clouds,-3.3667,135.4833,Hotel Nusantara I
158,Avarua,CK,77.05,Clouds,-21.2078,-159.775,Paradise Inn
161,Tutoia,BR,78.64,Clouds,-2.7619,-42.2744,Pousada Guará's
162,Charters Towers,AU,78.12,Clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
163,Nizwa,OM,81.54,Clear,22.9333,57.5333,Orient Apartments
164,Natal,BR,79.02,Clear,-5.795,-35.2094,Villa Park Hotel | Natal
165,Vao,NC,73.6,Clear,-22.6667,167.4833,Hotel Kou-Bugny
166,Sorong,ID,75.65,Clouds,-0.8833,131.25,Waigo Splash Hotel
167,Poum,NC,75.92,Clear,-20.2333,164.0167,
168,Nouadhibou,MR,76.98,Clear,20.931,-17.0347,El Medina
169,Hobyo,SO,76.23,Clear,5.3505,48.5268,Halane Hotel and Restaurent
170,Macau,MO,82.2,Clouds,22.2006,113.5461,Grand Emperor Hotel Macau
172,Havelock,US,84.18,Clouds,34.8791,-76.9013,Sherwood Motel
173,Jaisalmer,IN,81.05,Clear,26.9147,70.9181,Hotel Fifu
176,Bardiyah,LY,75.11,Clear,31.7561,25.0865,بورتو بردية
178,Filadelfia,US,78.15,Clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
181,Isangel,VU,81.37,Clear,-19.55,169.2667,Tanna Lodge
186,Guerrero Negro,MX,75.65,Clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
188,Tabou,CI,75.56,Rain,4.423,-7.3528,hotêl doufoulougou
191,Ishigaki,JP,75.33,Rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
