City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
0,Tuatapere,-46.1333,167.6833,51.4,88,96,3.0,Clouds,NZ,2022-09-20 23:24:14
1,Rikitea,-23.1203,-134.9692,73.36,75,0,14.94,Rain,PF,2022-09-20 23:24:14
2,Puerto Ayora,-0.7393,-90.3518,66.54,96,64,8.99,Clouds,EC,2022-09-20 23:24:14
3,Pevek,69.7008,170.3133,40.84,52,89,17.38,Clouds,RU,2022-09-20 23:24:14
4,Suntar,62.1444,117.6319,32.79,86,100,8.52,Clouds,RU,2022-09-20 23:24:15
5,Mahebourg,-20.4081,57.7,71.26,83,40,9.22,Clouds,MU,2022-09-20 23:24:15
6,Linqiong,30.4159,103.4609,69.62,89,100,3.29,Clouds,CN,2022-09-20 23:24:15
7,Maceio,-9.6658,-35.7353,72.84,88,0,4.61,Clear,BR,2022-09-20 23:24:16
8,Busselton,-33.65,115.3333,58.46,71,3,16.73,Clear,AU,2022-09-20 23:24:16
9,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,75.74,87,31,3.91,Clouds,BR,2022-09-20 23:24:16
10,Thompson,55.7435,-97.8558,46.56,76,100,8.05,Clouds,CA,2022-09-20 23:24:17
11,Port Moresby,-9.4431,147.1797,83.62,74,40,3.44,Haze,PG,2022-09-20 23:20:50
12,Meadow Lake,34.8014,-106.5436,87.15,40,93,8.48,Clouds,US,2022-09-20 23:21:11
13,Quatre Cocos,-20.2078,57.7625,71.1,82,64,17.83,Rain,MU,2022-09-20 23:24:17
14,Ushuaia,-54.8,-68.3,47.86,49,40,6.91,Clouds,AR,2022-09-20 23:21:36
15,Krasnoselkup,65.7,82.4667,36.66,71,100,22.5,Clouds,RU,2022-09-20 23:24:18
16,Padang,-0.9492,100.3543,75.25,87,99,3.74,Clouds,ID,2022-09-20 23:24:18
17,Torbay,47.6666,-52.7314,48.49,88,0,2.3,Clear,CA,2022-09-20 23:24:18
18,Kavaratti,10.5669,72.642,80.67,78,100,13.33,Clouds,IN,2022-09-20 23:24:18
19,Sao Joao Da Barra,-21.6403,-41.0511,73.49,86,55,16.42,Clouds,BR,2022-09-20 23:24:19
20,Swan Hill,-35.3378,143.5544,52.14,97,100,18.14,Clouds,AU,2022-09-20 23:24:19
21,Kununurra,-15.7667,128.7333,82.38,61,10,0.0,Clear,AU,2022-09-20 23:24:19
22,Longyearbyen,78.2186,15.6401,33.64,80,75,23.02,Clouds,SJ,2022-09-20 23:24:20
23,Vysokogornyy,50.1167,139.15,36.59,72,19,7.54,Clouds,RU,2022-09-20 23:24:20
24,Tiksi,71.6872,128.8694,32.99,99,100,10.29,Snow,RU,2022-09-20 23:24:20
25,Lorengau,-2.0226,147.2712,83.77,70,99,8.21,Clouds,PG,2022-09-20 23:24:21
26,Faanui,-16.4833,-151.75,78.03,74,7,15.14,Rain,PF,2022-09-20 23:24:21
27,Upernavik,72.7868,-56.1549,33.49,99,100,7.29,Snow,GL,2022-09-20 23:24:21
28,Cherskiy,68.75,161.3,41.67,59,100,18.43,Clouds,RU,2022-09-20 23:24:22
29,Arraial Do Cabo,-22.9661,-42.0278,69.76,88,0,3.44,Clear,BR,2022-09-20 23:19:43
30,Yellowknife,62.456,-114.3525,55.92,50,20,8.05,Clouds,CA,2022-09-20 23:22:16
31,Soyo,-6.1349,12.3689,73.47,88,48,9.75,Clouds,AO,2022-09-20 23:24:22
32,Lebu,-37.6167,-73.65,46.6,77,62,7.99,Clouds,CL,2022-09-20 23:24:22
33,Harper,4.375,-7.7169,76.3,87,90,10.31,Rain,LR,2022-09-20 23:24:23
34,Yanam,16.7333,82.2167,75.67,92,100,4.76,Clouds,IN,2022-09-20 23:24:23
35,Albany,42.6001,-73.9662,66.92,81,30,4.0,Clouds,US,2022-09-20 23:19:39
36,Nhulunbuy,-12.2333,136.7667,84.81,70,75,11.5,Clouds,AU,2022-09-20 23:24:23
37,Georgetown,5.4112,100.3354,78.73,94,20,2.3,Clouds,MY,2022-09-20 23:24:24
38,Tuktoyaktuk,69.4541,-133.0374,48.2,87,75,11.5,Clouds,CA,2022-09-20 23:24:24
39,Mataura,-46.1927,168.8643,46.47,91,94,1.16,Clouds,NZ,2022-09-20 23:24:24
40,Hermanus,-34.4187,19.2345,54.81,79,1,7.18,Clear,ZA,2022-09-20 23:24:25
41,Bluff,-46.6,168.3333,46.8,84,94,3.36,Clouds,NZ,2022-09-20 23:24:25
42,Dikson,73.5069,80.5464,30.56,72,100,22.48,Clouds,RU,2022-09-20 23:24:25
43,Hithadhoo,-0.6,73.0833,81.28,71,10,4.12,Clear,MV,2022-09-20 23:24:26
44,Zhigansk,66.7697,123.3711,30.22,80,92,17.52,Clouds,RU,2022-09-20 23:24:26
45,Vila Velha,-20.3297,-40.2925,75.15,83,0,17.27,Clear,BR,2022-09-20 23:24:26
46,Clyde River,70.4692,-68.5914,30.43,93,100,5.75,Snow,CA,2022-09-20 23:24:26
47,Mount Gambier,-37.8333,140.7667,50.31,98,100,3.49,Clouds,AU,2022-09-20 23:25:27
48,Kichera,55.9375,110.0997,40.82,97,99,6.08,Rain,RU,2022-09-20 23:25:27
49,Port Alfred,-33.5906,26.891,54.18,97,8,1.01,Clear,ZA,2022-09-20 23:25:27
50,Tasiilaq,65.6145,-37.6368,39.36,97,100,6.06,Rain,GL,2022-09-20 23:25:28
51,Jamestown,42.097,-79.2353,69.03,63,0,4.61,Clear,US,2022-09-20 23:25:28
52,Castro,-24.7911,-50.0119,60.21,82,57,3.02,Clouds,BR,2022-09-20 23:25:28
53,Beckley,37.7782,-81.1882,73.81,66,0,5.75,Clear,US,2022-09-20 23:24:43
54,Provideniya,64.3833,-173.3,41.36,100,75,8.99,Fog,RU,2022-09-20 23:25:29
55,Savannah Bight,16.45,-85.85,83.1,74,75,8.52,Clouds,HN,2022-09-20 23:25:29
56,Tucuma,-0.1833,-50.05,79.72,79,59,9.33,Rain,BR,2022-09-20 23:25:29
57,Yar-Sale,66.8333,70.8333,48.94,93,85,16.69,Clouds,RU,2022-09-20 23:25:30
58,Majene,-3.5403,118.9707,76.6,87,86,5.7,Clouds,ID,2022-09-20 23:25:30
59,Nicoya,10.1483,-85.452,78.58,84,64,2.93,Clouds,CR,2022-09-20 23:25:30
60,La Ronge,55.1001,-105.2842,52.05,71,100,14.97,Clouds,CA,2022-09-20 23:25:31
61,Punta Arenas,-53.15,-70.9167,46.51,46,20,2.3,Clouds,CL,2022-09-20 23:25:31
62,Kaitangata,-46.2817,169.8464,51.28,86,68,3.13,Clouds,NZ,2022-09-20 23:25:31
63,New Norfolk,-42.7826,147.0587,57.92,61,76,1.01,Clouds,AU,2022-09-20 23:25:32
64,Viedma,-40.8135,-62.9967,47.46,52,2,5.08,Clear,AR,2022-09-20 23:25:32
65,Leningradskiy,69.3833,178.4167,36.05,70,5,14.94,Clear,RU,2022-09-20 23:25:32
66,Kapaa,22.0752,-159.319,87.78,69,0,16.11,Clear,US,2022-09-20 23:25:33
67,Cabo San Lucas,22.8909,-109.9124,83.61,87,100,8.05,Clouds,MX,2022-09-20 23:23:47
68,Acapulco,16.8634,-99.8901,80.42,83,100,4.61,Clouds,MX,2022-09-20 23:23:16
69,Sheridan,44.8333,-106.9173,59.38,63,100,14.97,Clouds,US,2022-09-20 23:25:33
