City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2022-09-16 01:32:01,-33.9258,18.4232,61.38,89,100,1.14
1,Klaksvik,FO,2022-09-16 01:36:03,62.2266,-6.589,45.52,72,87,24.94
2,Mataura,NZ,2022-09-16 01:36:03,-46.1927,168.8643,46.47,49,92,4.41
3,Bambous Virieux,MU,2022-09-16 01:36:03,-20.3428,57.7575,70.21,73,40,11.5
4,Bredasdorp,ZA,2022-09-16 01:36:04,-34.5322,20.0403,52.92,92,51,4.12
5,Dickinson,US,2022-09-16 01:33:06,29.4608,-95.0513,83.12,81,20,8.05
6,Pevek,RU,2022-09-16 01:36:04,69.7008,170.3133,36.86,82,62,5.55
7,Busselton,AU,2022-09-16 01:35:26,-33.65,115.3333,59.99,64,67,9.22
8,Truro,GB,2022-09-16 01:36:04,50.2653,-5.0544,58.28,77,100,4.61
9,Riviere-Du-Loup,CA,2022-09-16 01:36:05,47.8304,-69.5342,50.88,57,85,8.05
10,Kapaa,US,2022-09-16 01:36:05,22.0752,-159.319,84.18,68,100,8.05
11,Nanortalik,GL,2022-09-16 01:36:05,60.1432,-45.2371,48.87,81,100,10.2
12,Esperance,AU,2022-09-16 01:36:06,-33.8667,121.9,58.84,69,100,23.89
13,Hobart,AU,2022-09-16 01:36:06,-42.8794,147.3294,55.26,94,100,11.03
14,General Pico,AR,2022-09-16 01:36:06,-35.6566,-63.7568,64.13,27,88,19.71
15,Pfullendorf,DE,2022-09-16 01:36:06,47.9167,9.25,55.51,94,95,2.62
16,Qaanaaq,GL,2022-09-16 01:36:07,77.484,-69.3632,30.92,93,100,7.4
17,Namtsy,RU,2022-09-16 01:36:07,62.7161,129.6658,44.13,52,19,10.18
18,Puerto Ayora,EC,2022-09-16 01:36:07,-0.7393,-90.3518,64.54,93,67,10.54
19,Mount Pleasant,US,2022-09-16 01:36:07,32.7941,-79.8626,75.34,83,0,1.99
20,Arcelia,MX,2022-09-16 01:36:08,18.2833,-100.2667,74.21,93,96,2.59
21,Cabadiangan,PH,2022-09-16 01:36:08,9.7531,122.4739,75.94,92,100,8.32
22,Hermanus,ZA,2022-09-16 01:36:08,-34.4187,19.2345,57.79,92,97,4.81
23,Dutse,NG,2022-09-16 01:36:09,11.7594,9.3392,75.43,80,100,5.57
24,Ushuaia,AR,2022-09-16 01:34:35,-54.8,-68.3,35.26,80,40,19.57
25,Souillac,MU,2022-09-16 01:36:09,-20.5167,57.5167,70.18,73,40,11.5
26,Raahe,FI,2022-09-16 01:36:09,64.6833,24.4833,50.09,94,100,13.35
27,New Norfolk,AU,2022-09-16 01:36:09,-42.7826,147.0587,54.91,89,100,1.99
28,Bethel,US,2022-09-16 01:36:10,41.3712,-73.414,61.16,74,0,4.61
29,Luderitz,NA,2022-09-16 01:36:10,-26.6481,15.1594,62.4,60,3,8.86
30,Salinopolis,BR,2022-09-16 01:36:10,-0.6136,-47.3561,79.77,80,82,11.14
31,Goure,NE,2022-09-16 01:36:11,13.9835,10.2704,82.02,57,100,12.1
32,Kavieng,PG,2022-09-16 01:36:11,-2.5744,150.7967,83.88,67,98,15.14
33,Geraldton,AU,2022-09-16 01:36:11,-28.7667,114.6,61.21,88,100,6.91
34,Heihe,CN,2022-09-16 01:36:11,50.2441,127.4902,57.78,46,9,4.85
35,Rikitea,PF,2022-09-16 01:36:12,-23.1203,-134.9692,71.85,76,4,12.37
36,Manbij,SY,2022-09-16 01:36:12,36.5281,37.9549,72.03,51,0,8.32
37,Mecca,SA,2022-09-16 01:36:12,21.4267,39.8261,85.32,42,2,5.53
38,Sao Filipe,CV,2022-09-16 01:36:13,14.8961,-24.4956,78.26,86,36,6.53
39,Atuona,PF,2022-09-16 01:36:13,-9.8,-139.0333,77.04,69,1,17.78
40,The Valley,AI,2022-09-16 01:34:18,18.217,-63.0578,84.09,80,86,23.35
41,Chuy,UY,2022-09-16 01:36:13,-33.6971,-53.4616,53.02,94,0,6.29
42,Butaritari,KI,2022-09-16 01:36:14,3.0707,172.7902,82.17,70,21,16.24
43,Ulaangom,MN,2022-09-16 01:36:14,49.9811,92.0667,47.25,50,11,7.02
44,Kahului,US,2022-09-16 01:36:14,20.8947,-156.47,91.42,56,40,16.11
45,Hilo,US,2022-09-16 01:34:03,19.7297,-155.09,86.29,88,100,6.91
46,Kodiak,US,2022-09-16 01:37:14,57.79,-152.4072,53.11,82,40,0.0
47,Mitsamiouli,KM,2022-09-16 01:37:15,-11.3847,43.2844,74.3,81,7,7.02
48,Caravelas,BR,2022-09-16 01:37:15,-17.7125,-39.2481,71.51,90,0,4.56
49,Goya,AR,2022-09-16 01:37:15,-29.14,-59.2626,54.63,75,0,6.06
50,Waitati,NZ,2022-09-16 01:37:16,-45.75,170.5667,46.8,67,97,5.84
51,Dingle,PH,2022-09-16 01:37:16,10.9995,122.6711,77.38,91,100,11.27
52,Atambua,ID,2022-09-16 01:37:16,-9.1061,124.8925,85.28,48,100,2.62
53,Punta Arenas,CL,2022-09-16 01:35:59,-53.15,-70.9167,35.71,60,0,12.66
54,Etaples,FR,2022-09-16 01:37:17,50.5219,1.6332,58.41,76,0,3.44
